Disease,Symptom,HealthTips
Coronary artery disease,"[""shortness of breath"", ""blurred vision"", ""fever"", ""confusion""]",Maintain hygiene to prevent infections.
Migraine,"[""night sweats"", ""fatigue"", ""sleeplessness"", ""nausea"", ""vomiting"", ""agitation"", ""fever"", ""chill""]",Ensure regular check-ups with your healthcare provider.
Adenocarcinoma,"[""fever"", ""chest pain"", ""cough"", ""chill"", ""joint pain""]",Maintain hygiene to prevent infections. Practice stress-reducing techniques like meditation.
COVID-19,"[""cough"", ""sleeplessness"", ""joint pain"", ""loss of smell"", ""vomiting"", ""dizziness"", ""dizziness""]",Practice stress-reducing techniques like meditation. Get adequate rest and sleep.
Adenocarcinoma,"[""chill"", ""fatigue"", ""muscle twitch"", ""fever"", ""night sweats"", ""confusion""]",Ensure regular check-ups with your healthcare provider. Maintain a balanced diet and stay hydrated.
Hyperthyroidism,"[""chill"", ""sleeplessness"", ""constipation"", ""swelling""]",Engage in regular physical activity appropriate to your condition.
Asthma,"[""dizziness"", ""chill"", ""palpitations"", ""headache"", ""chill""]",Practice stress-reducing techniques like meditation.
Depression,"[""palpitations"", ""night sweats"", ""sore throat"", ""weight loss"", ""chill""]",Quit smoking and avoid alcohol consumption.
Epilepsy,"[""joint pain"", ""chill"", ""loss of taste"", ""chill"", ""diarrhea"", ""sore throat"", ""dizziness""]",Maintain a balanced diet and stay hydrated.
Stroke,"[""confusion"", ""fatigue"", ""chill"", ""chill""]",Maintain hygiene to prevent infections. Get adequate rest and sleep.
Hypothyroidism,"[""swelling"", ""nausea"", ""joint pain"", ""sore throat"", ""fatigue"", ""palpitations""]",Stay informed and get vaccinated when available.
Adhesion,"[""muscle twitch"", ""fatigue"", ""confusion"", ""weight loss"", ""joint pain"", ""dizziness"", ""sleeplessness"", ""dizziness""]",Ensure regular check-ups with your healthcare provider.
Alzheimer's disease,"[""diarrhea"", ""night sweats"", ""tremor"", ""chill"", ""chest pain""]",Stay informed and get vaccinated when available. Ensure regular check-ups with your healthcare provider.
Pneumocystis carinii pneumonia,"[""chill"", ""nausea"", ""chill"", ""cough""]",Get adequate rest and sleep.
